comment,todaysWgt,sirename,racetime,record_1,L2comment,L5lbw,L1sp,L2racecourse,ClassL3,ClassL2,ClassL1,raceclass,L2pos,ClassL5,ClassL4,L4going,racecourse,L1dist,diomed,horsenumber,pedigreecomment,pmL3,pedstats,L5sp,sirecomment,L2raceoutcome,record_2_stats,L3dist,L3comment,timestamp,L5ran,L1going,L1pos,L4lbw,racepm,L3sp,record_3_stats,Family,L3pos,L3ran,L1raceoutcome,L1comment,CD,record_4_stats,L5comment,L5going,L4pos,record_1_stats,L5raceoutcome,DI,L3going,L2lbw,todaysWgt_dec,L2dist,L4dist,L1racecourse,WGTL3,WGTL2,WGTL1,racedate,record_5_stats,WGTL5,WGTL4,rpOR,L1lbw,dayssincelastrun,rpTS,racegoing,L3raceoutcome,racename,rpRPR,L4ran,L2ran,L1ran,L2going,L4sp,Pedprizemoney,pmL5,pmL4,L5pos,barrier,pmL2,L3lbw,record_4,record_5,record_2,record_3,L5dist,racedistance,horsename,L4comment,L3racecourse,hage,L2sp,bestodds,L4raceoutcome,pmL1,L4racecourse,L5racecourse
Ten goes to win his maiden and vulnerable to improvers.,,,2:40,Flat Turf,"led, ridden and edged right over 1f out, headed and unable to quicken well inside final furlong",4¾,4.0,Wol,C52yHc 3K,C62yHc 2K,C52yMd 2K,  toteplacepot Racing´s Favourite Bet Handicap  (CLASS 4) (3yo 0-85) ,5,C52yHc 2K,C52yHc 3K,Sf,Nottingham,5.0,  BAPAK ASMARA on the other hand ran his best race yet on soft ground on his final start at two and appeals as the type to do better this season having been gelded. ,7,(CLOSE),3K,,1.0,"top-class 2yo at 6f, capable of siring precocious 2yos, good record with sprinters",5/11 (10.5L True Course 9-2) p 25/1,": :2:1:0:0:£2,911:£2,911: 65 : 71 : 73",6.0,"chased leading pair, ridden halfway, weakened inside final furlong",2015-04-08 10:02:22.771077,6,St,1,1½,8K,5.0,": :10:1:0:2:£2,911:£4,444: - : - : -",,5,9,1/5 (10.5L Kyrenia Castle 9-5) 7/2,"made all, ridden and edged right over 1f out, ran on",,,"took keen hold, prominent on outside, ridden along and effort over 1f out, one pace final furlong",Gd,4,": :8:0:0:2:£0:£1,533: 57 : 63 : 67",4/6 (40.75L Just The Tip 9-7) h 11/4,,GS,1½,,5.0,5.0,Wol,9-5,9-1,9-0,2015-04-08,,9-2,9-0,67,1½,107,78,Sft,5/9 (50.25L White Vin Jan 8-8) p 14/1,  toteplacepot Racing´s Favourite Bet Handicap  (CLASS 4) (3yo 0-85) ,88,5,11,5,St,3.0,,2K,3K,4,3,2K,5¼,,,All-weather,Rules Races,5.0,5.0,BAHANGO,"with leaders, ridden and came to stands´ rail over 2f out, kept on same pace final furlong",Ham,3,6.0,,4/5 (10.5L Showstoppa 9-7) p 15/2,2K,Crl,Crl
Placed for Brian Ellison and won´t mind this testing ground.,,,4:40,Flat Turf,"hampered start and towards rear, headway 3f out, ridden to chase leaders over 1f out, switched right and kept on final furlong, nearest finish",4¾,4.0,Bev,C62yMdAc 2K,C52yMdAc 3K,C62yHc 1K,  totepool Racing´s Biggest Supporter Handicap  (CLASS 5) (3yo 0-75) ,4,C52yMd 3K,C42yMd 4K,GS,Nottingham,5.0,  WHAT ASHAM has looked a different horse since switching to Fibresand and could easily continue the good work on his turf debut with these conditions likely to suit him. ,8,(CLOSE),2K,,7.0,"high-class 7f winner at 2, also minor 1m winner at 4 in US; sire of Top Notch Tonto",4/12 (30.25L Multi Grain 8-12) 14/1,": :5:0:1:0:£0:£1,371: - : - : -",6.0,"in rear-division, effort on inside when not clear run 2f out, kept on final furlong, never on terms, dead-heated for 5th",2015-04-08 10:02:23.117345,9,Hy,2,6½,4K,7.0,,,5,11,2/8 (30.75L All My Love 9-4) 7/2,"held up, pushed along and headway over 2f out, ridden to chase winner over 1f out, edged left inside final furlong, stayed on same pace",,,"behind and pushed along, headway on outside 2f out, kept on final furlong, no impression",Gd,4,": :5:0:1:0:£0:£1,371: 40 : 60 : 60",4/9 (40.75L Jersey Bull 9-2) 66/1,,GF,3¼,,5.0,7.0,Lei,8-12,8-11,9-4,2015-04-08,,9-5,9-5,60,3¾,176,61,Sft,5/11 (70.75L Mrs Biggs 8-11) 6/1,  totepool Racing´s Biggest Supporter Handicap  (CLASS 5) (3yo 0-75) ,81,5,12,8,GF,6.0,,3K,4K,4,7,3K,7¾,,,Rules Races,,6.0,8.0,STAR ASCENDING,"raced keenly in touch, ridden over 2f out, soon beaten",Thi,3,5.0,,4/5 (60.5L Jumeirah Glory 9-5) 5/1,1K,Mus,Rip
Some promise over 7f in the autumn; not sure to want quite this far,,,4:30,Flat Turf,"dwelt, always towards rear",,1.0,Cat,C42yMd 4K,C52yMd 3K,C52yMd 2K,  Haslemere Building Company Maiden Stakes  (CLASS 5) (3yo) ,5,,C52yMd 3K,GF,Lingfield (AW),7.0,"  Simple Verse sets the standard but it isn´t an overly demanding one and the well-bred colt MARMION is taken to make a winning debut. A half-brother to three winners who have run to an RPR in excess of 90, he looks the part on paper and is starting out at a realistic level. ",5,(CLOSE),4K,,,"Gr2 8f 2yo winner, exceptional 8-12f Gr1 wnr at 3, half-bro to Galileo; sire of Taghrooda",5/8 (12L Caigemdar 9-0) 3/1,: :1:0:0:0:£0:£216: 34 : 63 : 67,7.0,"close up, pushed along and led over 1f out, headed inside final furlong, kept on same pace",2015-04-08 10:02:24.192720,,St,4,8,4K,1.0,": :4:0:0:1:£0:£1,087: - : - : -",,3,9,4/9 (30.5L Colour Party 9-0) 10/1,"chased leaders, ridden over 1f out, edged left and stayed on same pace inside final furlong",,,,,4,: :3:0:0:1:£0:£871: 51 : 65 : 67,,,GF,12,,7.0,5.0,Wol,9-0,9-0,9-0,2015-04-08,,,9-0,67,3½,144,48,Std,3/9 (10.75L Dagher 9-5) 15/8,  Haslemere Building Company Maiden Stakes  (CLASS 5) (3yo) ,79,8,8,9,Sf,1.0,,,3K,,5,3K,1¾,,,All-weather,Rules Races,,12.0,YORKINDRED SPIRIT,"in touch, headway to track leaders 3f out, effort to chase leading pair well over 1f out, soon ridden, green and edged left, one pace and lost modest 3rd near finish",Ncs,3,4.0,,4/8 (8L Ajaadat 9-0) 11/4,2K,Bev,
C&D winner a fortnight ago; up in class today but always tries hard.,,,5:00,Flat Turf,"chased leader, ridden and unable to quicken over 1f out, kept on same pace inside final furlong",1½,4.0,Lin,C5Hc 3K,C6Hc 2K,C6Hc 3K,  South London & Proud Fillies´ Handicap  (CLASS 5) (4yo+ 0-75) ,3,C6Hc 2K,C6Hc 2K,St,Lingfield (AW),8.0," The suggestion is LADY MARL , who met traffic and was arguably a shade unfortunate off today´s mark over C&D 12 days ago. ",5,Owner: Mr Ross Harmon(CLOSE),3K,"(IRE) b. F, 2010 {1-a} DP = 2-0-10-0-0 (12)  DI = 1.40  CD = 0.33",8.0,"top-class miler at 5 in UK, five-time Group 1 winner 8-10f; stands in Italy",3/10 (30.5L Youm Jamil 9-7) 7/4F,": :25:4:2:5:£9,459:£13,733: 54 : 66 : 58",7.0,"dwelt and bustled along leaving stalls, recovered and headway to chase leader 6f out, ridden to lead just over 2f out, hard pressed and battled on gamely under pressure until headed and no extra towards finish",2015-04-08 10:02:23.700194,8,St,1,,4K,9.0,": :34:5:2:6:£12,694:£17,208: - : - : -",,3,9,1/8 (hd El Duque 8-13) 3/1,"chased leader, upsides leader and clear of field 2f out, pushed into lead just over 1f out, soon ridden and clear final 150yds, kept on and always holding on, ridden out",0.33,,"chased leaders, closed in 3rd over 2f out, stayed on same pace inside final furlong",St,1,": :9:1:0:1:£3,235:£3,475: 58 : 64 : 58",3/8 (10.5L Major Muscari 9-1) 7/1,1.40,St,3½,,8.0,8.0,Lin,8-6,9-7,9-7,2015-04-08,,8-9,9-3,58,,14,75,Std,3/9 (0.5L Skinny Love 9-4) 8/1,  South London & Proud Fillies´ Handicap  (CLASS 5) (4yo+ 0-75) ,83,13,10,8,St,5.0,,2K,2K,3,2,2K,½,,,All-weather,Rules Races,7.0,8.0,SKIDBY MILL,"chased leader, ridden to challenge over 2f out, edged left but pressed new leader final furlong, looked held until rallied to lead last stride",Lin,5,2.0,,1/13 (nse Henry Grace 9-4) 9/2,3K,Kem,Lin
Progressive when last seen but needs to improve again to win this,,,4:00,Flat Turf,"close up, pressed leaders 3f out, led over 1f out, pushed out",5,4.0,Lin,C52yHc 3K,C52yHc 2K,C32yHc 6K,  Oyster Handicap  (CLASS 4) (3yo 0-85) ,1,C52yMd 3K,C52yMd 2K,Gd,Lingfield (AW),8.0," Only six runners but an interesting race all the same. Grand Spirit moves into handicaps on a handy looking mark and can go well, while Them And Us and Aledaid need a close look too. That said, BOW AND ARROW is surely better than he showed on his handicap debut last time and is given another chance to confirm the promise of his Kempton win last summer. ",6,(CLOSE),3K,,2.0,"useful 7f 2yo, multiple 10-12f Gr1 winner at 4, from excellent family; sold to South Africa 2015",1/8 (10.75L Cascading Stars 9-1) 11/4F,": :3:1:1:1:£2,588:£4,493: 61 : 77 : 77",7.0,"led 1f, chased leaders, ridden and every chance 1f out, stayed on same pace",2015-04-08 10:02:27.691976,8,St,3,14,7K,5.0,": :6:1:2:1:£2,588:£5,888: - : - : -",,2,9,3/5 (6L Greatest Journey 8-8) 7/2,"led, ridden well over 1f out, headed 1f out, soon beaten, lost 2nd and weakened inside final furlong",,,"with leaders, led over 3f out, headed just inside final furlong, no extra",Hy,9,": :3:0:1:0:£0:£1,396: 50 : 67 : 77",2/8 (5L Geordie George 9-5) 7/4,,St,1¾,,8.0,8.0,Lin,9-7,9-7,9-7,2015-04-08,,9-5,9-0,77,6,126,73,Std,2/9 (10.75L Romance Story 8-13) 14/1,  Oyster Handicap  (CLASS 4) (3yo 0-85) ,89,10,8,5,St,7.0,,3K,2K,2,3,2K,1¾,,,All-weather,Rules Races,6.0,7.0,MARMALAD,"chased leaders, ridden along 3f out, weakened over 2f out",Wol,3,1.0,,9/10 (14L Mustard 9-0) 6/1,6K,Hay,Rip
"Recent form very poor, on the AW and over hurdles.",,,9:15,Flat Turf,"held up, ridden over 2f out, never on terms",18,1.0,Wol,C6Hc 2K,C6Hc 2K,C5MdH 2K,  32Red On The App Store Handicap  (CLASS 6) (4yo+ 0-65) ,6,C6Hc 2K,C4NvH 4K,Sf,Kempton (AW),6.0,"  FLAMBOROUGH BREEZE hasn´t won for a while but has been threatening to and confirmed her current wellbeing with a solid effort over an inadequate 7f here last time. Barbary , hopefully all the better for a break, heads the dangers. Berrahri was well below form yesterday, albeit with an excuse racing wide. ",11,(CLOSE),2K,,9.0,"unbeaten minor winner at 2, top-class miler at 3; excellent source of 2yo winners, progeny progress",6/11 (13L Hickster 8-13) v 28/1,": :22:4:1:1:£8,086:£8,952: 62 : 74 : 48",5.0,"held up, stayed on under pressure from over 1f out, not trouble leaders",2015-04-08 10:02:28.146748,9,Gd,,,3K,1.0,: :2:0:0:0:£0:£0: - : - : -,,9,12,PU/11 (Winner Massagot 10-7) 100/1,"took keen hold, held up, always behind, tailed off from 5th, pulled up before 2 out",,": :29:4:1:1:£8,086:£9,145: - : - : -","chased leader until ridden well over 2f out, weakened over 1f out",St,,: :5:0:0:0:£0:£192: 59 : 70 : 48,8/9 (18L Ferryview Place 8-9) v 28/1,,St,13,,5.0,6.0,Kem,9-4,8-11,11-0,2015-04-08,,9-4,11-2,48,,0,48,Std,9/12 (40.75L Happydoingnothing 9-6) v 50/1,  32Red On The App Store Handicap  (CLASS 6) (4yo+ 0-65) ,76,13,11,11,St,1.0,,2K,4K,8,1,2K,4¾,Rules Races,,All-weather,Hurdle,5.0,8.0,SAM SPADE,"in rear, behind from 6th, tailed off when pulled up before 2 out",Wol,5,9.0,,PU/13 (Zip Top 11-8) 100/1,2K,Sth,Wol
Won this off 5lb higher last year and didn´t run badly over 1m last time.,,,5:30,Flat Turf,"taken down early, in touch in midfield, lost place 4f out, weakened just over 2f out",9¾,9.0,Kem,C5Hc 2K,C5Hc 2K,C5Hc 3K,  Crystal Palace Football Club Handicap  (CLASS 5) (4yo+ 0-75) ,2,C5Hc 3K,C5Hc 3K,St,Lingfield (AW),8.0,"  Shining Glitter ended last season in good form and could have more to offer this year but today´s drop back in trip may not be ideal and preference is for TILSTARR , who ran better than the bare form suggests when making the running over 1m recently and is now 5lb lower than when winning this race in 2014. ",8,"A €70,000 yearling.(CLOSE)",2K,"(IRE) b. F, 2010 {1-e} DP = 4-0-10-0-0 (14)  DI = 1.80  CD = 0.57",3.0,"hugely talented multiple G1 winner, family of Street Cry; good record with 2yos, progeny progress",12/14 (170.5L Dalaki 9-3) p 14/1,": :13:2:2:3:£5,454:£8,407: 60 : 79 : 65",5.0,"prominent, chased winner over 5f out until ridden 2f out, weakened final furlong",2015-04-08 10:02:23.536071,11,St,7,¼,4K,5.0,": :27:2:4:7:£5,454:£12,941: - : - : -",,6,8,7/9 (40.5L Chelwood Gate 9-7) p 8/1,"made most, moderate pace until halfway, headed and weaken quickly just over 1f out",0.57,,"taken down early, well in touch, ridden on outer 3f out, no progress over 2f out, steadily weakened",Gd,2,": :14:0:2:4:£0:£4,535: 75 : 78 : 65",6/11 (90.75L Last Minute Lisa 9-1) 12/1,1.80,St,17½,,1.0,2.0,Lin,10-2,9-8,8-6,2015-04-08,,9-2,9-5,65,4½,12,75,Std,6/8 (110.5L Pivotman 10-13) 9/2,  Crystal Palace Football Club Handicap  (CLASS 5) (4yo+ 0-75) ,92,8,14,9,St,5.0,,3K,3K,6,3,2K,11½,,,All-weather,Rules Races,1.0,10.0,TILSTARR,"took keen hold, held up well in touch in midfield, headway to join leader 3f out, ridden and lead 2f out, forged in front 1f out, driven inside final furlong, headed last strides",Wol,5,5.0,,2/8 (0.25L Atalanta Bay 9-8) p 14/1,3K,Lin,Goo
Poor form in sprint maidens so far,,,2:00,Flat Turf,"in touch for 2f, soon lost place, well behind over 1f out, tailed off",,1.0,Cfd,C5Md 2K,C5Md 5K,C5Md 3K,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,1,,C53yMd 2K,Gd,Lingfield (AW),6.0, Money for Norwegian Reward after his absence would look significant but CHARLIES MATE comes here on the back of a couple of sound efforts and could prove the answer. ,11,,2K,,,,11/11 (43L Wanting 8-13) 100/1,: :2:0:0:0:£0:£0: - : 25 : 35,6.0,"close up until halfway, ridden and soon faded rapidly, hopelessly tailed off",2015-04-08 10:02:27.593950,,St,9,30,3K,7.0,: :4:0:0:0:£0:£0: - : - : -,,6,6,9/9 (150.5L Where's Sue 8-13) 100/1,"led until over 2f out, soon ridden and lost 2nd, weakened under pressure over 1f out, faded 1f out",,,,,0,: :2:0:0:0:£0:£0: - : - : 35,,,GF,43,,6.0,6.0,Cfd,8-9,9-11,9-11,2015-04-08,,,8-9,45,15½,41,0,Std,6/6 (49L Dodina 9-0) 66/1,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,0,10,11,9,St,7.0,,,2K,,6,5K,49,,,All-weather,Rules Races,,8.0,RAYMOND´S DREAM,"outpaced in last trio, always behind, tailed off",Yar,5,1.0,,10/10 (30L At A Clip 9-0) 66/1,3K,Lin,
Showed some ability in 6f maidens last term but more is needed here,,,2:10,Flat Turf,"in touch, headway on wide outside to chase leaders over 2f out, soon ridden and weakened approaching final furlong",,7.0,Not,,C52yMd 3K,C52yMd 3K,  totejackpot Go For The Big One Maiden Stakes  (CLASS 5) (3yo) ,7,,,,Nottingham,6.0," After four starts ACASTER MALBIS has effectively had more chances than any of his rivals but he ran well on the figures in stronger company on his last two juvenile starts and sets a useful standard back in a maiden. Occult , who made a promising debut at Doncaster ten days ago, is feared most. That one´s stablemate Alkawn looks the pick of the newcomers. ",16,(CLOSE),,,,"top-class 2yo winner over 7f-1m, raced once at 3, family of Batshoof; fair start with first 2yos",7/10 (50.25L Ustinov 9-5) 25/1,: :2:0:0:0:£0:£0: - : - : -,,,2015-04-08 10:02:22.986915,,Gd,5,,5K,,,,,,5/10 (100.5L Fox Trotter 9-5) 6/1,"chased leaders, ridden along over 2f out, soon one pace",,,,,,: :2:0:0:0:£0:£0: 44 : 66 : -,,,,5¼,,6.0,,Don,,9-5,9-5,2015-04-08,,,,0,10½,272,53,Sft,,  totejackpot Go For The Big One Maiden Stakes  (CLASS 5) (3yo) ,75,,10,10,Gd,,,,,,10,3K,,,,Rules Races,,,8.0,YORKSHIRE DALES,,,3,6.0,,,3K,,
No diomed comment available for this horse,,,8:15,,,,,,,,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),, Diomed verdict is not currently available for this race ,7,(CLOSE),,,,,,,,,2015-04-08 10:02:29.498070,,,,,26K,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-08,,,,0,,,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,,,,,,,,1,,,,,,,,6.0,HAUT HAUT,,,5,,,,,,
